year,country,broadcaster,artist,artistWikiUrl,song,songWikiUrl,language,songwriters,conductors,youtube_url
1991,at,ORF,Thomas Forstner,https://en.wikipedia.org/wiki/Thomas_Forstner,Venedig im Regen,,German,Wolfgang Eltner|Hubert Moser|Robby Musenbichler,Richard Oesterreicher,nPIFVXkrgyE
1991,be,BRTN,Clouseau,https://en.wikipedia.org/wiki/Clouseau_(band),Geef het op,,Dutch,Jan Leyers|Bob Savenberg|Koen Wauters|Kris Wauters,Roland Verlooven,LeBN0FA6Q0U
1991,cy,CyBC,Elena Patroklou,https://en.wikipedia.org/wiki/Elena_Patroklou,S.O.S.,,Greek,Kypros Charalambous|Andreas Christou,Alexander Kirov Zografov,Qf2fLGTlwR4
1991,dk,DR,Anders Frandsen,https://en.wikipedia.org/wiki/Anders_Frandsen,Lige der hvor hjertet slår,,Danish,Michael Elo,Henrik Krogsgaard,02NuIUi4hxk
1991,fi,YLE,Kaija,https://en.wikipedia.org/wiki/Kaija_K%C3%A4rkinen,Hullu yö,,Finnish,Ile Kallio|Jukka Välimaa,Olli Ahvenlahti,Wfd725T8sow
1991,fr,Antenne 2,Amina,https://en.wikipedia.org/wiki/Amina_Annabi,C'est le dernier qui a parlé qui a raison,https://en.wikipedia.org/wiki/Le_Dernier_qui_a_parl%C3%A9...,French,Amina Annabi|Wasis Diop,Jérôme Pillement,PnxEBAoCZIw
1991,de,SFB,Atlantis 2000,https://en.wikipedia.org/wiki/Atlantis_2000,Dieser Traum darf niemals sterben,,German,Helmut Frey|Alfons Weindorf,Hermann Weindorf,9n_zdCawy38
1991,gr,ERT,Sophia Vossou,https://en.wikipedia.org/wiki/Sophia_Vossou,"Anixi"" (Άνοιξη)",,Greek,ndreas Mikroutsikos,Haris Andreadis,5z7aB-YHv-E
1991,is,RÚV,Stefán,https://en.wikipedia.org/wiki/Stef%C3%A1n_Hilmarsson,Nína,,Icelandic,Eyjólfur Kristjánsson,Jón Ólafsson,CvwMxBRIZJw
1991,ie,RTÉ,Kim Jackson,https://en.wikipedia.org/wiki/Kim_Jackson,Could It Be That I'm in Love,,English,Liam O'Reilly,Noel Kelehan,ZiDf8RQqzt4
1991,il,IBA,Duo Datz,https://en.wikipedia.org/wiki/Duo_Datz,"Kan"" (כאן)",,Hebrew,Uzi Hitman,Kobi Oshrat,yF4BDqbidrc
1991,it,RAI,Peppino di Capri,https://en.wikipedia.org/wiki/Peppino_di_Capri,Comme è ddoce 'o mare,,Neapolitan,Giampiero Artegiani|Marcello Marocchi,Bruno Canfora,-DzZzF8yVuQ
1991,lu,CLT,Sarah Bray,,Un baiser volé,,French,Patrick Hippert|Linda Lecomte|Mick Wersant,Francis Goya,sTLra3zM2kg
1991,mt,PBS,Paul Giordimaina and,https://en.wikipedia.org/wiki/Georgina_Abela,Could It Be,,English,Paul Abela|Raymond Mahoney,Paul Abela,mdyO4H5Pn3Y
1991,no,NRK,Just 4 Fun,https://en.wikipedia.org/wiki/Just_4_Fun_(band),Mrs. Thompson,,Norwegian,Dag Kolsrud|P.G. Roness|Kaare Skevik Jr.,Pete Knutsen,elqsfrl575s
1991,pt,RTP,Dulce,https://en.wikipedia.org/wiki/Dulce_Pontes,Lusitana paixão,,Portuguese,Fred Micaelo|Zé da Ponte|Jorge Quintela,Fernando Correia Martins,YcXIKRFsa18
1991,es,TVE,Sergio Dalma,https://en.wikipedia.org/wiki/Sergio_Dalma,Bailar pegados,https://en.wikipedia.org/wiki/Bailar_pegados,Spanish,Luis Gómez Escolar|Julio Seijas,Eduardo Leiva,4EGAIciJ76U
1991,se,SVT,Carola,https://en.wikipedia.org/wiki/Carola_H%C3%A4ggkvist,Fångad av en stormvind,https://en.wikipedia.org/wiki/F%C3%A5ngad_av_en_stormvind,Swedish,Stephan Berg,Anders Berglund,7wnS4nu-bOc
1991,ch,SRG SSR,Sandra Simó,https://en.wikipedia.org/wiki/Sandra_Studer,Canzone per te,,Italian,Renato Mascetti,Flaviano Cuffari,ard88K87XWQ
1991,tr,TRT,Can Uğurluer,https://en.wikipedia.org/wiki/Can_U%C4%9Furluer,İki Dakika,,Turkish,Aysel Gürel|Şevket Uğurluer,Turhan Yükseler,UTEmAWdej3o
1991,gb,BBC,Samantha Janus,https://en.wikipedia.org/wiki/Samantha_Womack,A Message to Your Heart,https://en.wikipedia.org/wiki/A_Message_to_Your_Heart,English,Paul Curtis,Ronnie Hazlehurst,RCP4JiYIRjs
1991,yu,JRT,Baby Doll,https://en.wikipedia.org/wiki/Bebi_Dol,"Brazil"" (Бразил)",,Serbo-Croatian,Dragana Šarić|Zoran Vračević,Slobodan Marković,Hlh61zIO2fk
1992,at,ORF,Tony Wegas,https://en.wikipedia.org/wiki/Tony_Wegas,Zusammen geh'n,,German,Dieter Bohlen|Joachim Horn-Bernges,Leon Ives,afCvloQYc7Y
1992,be,RTBF,Morgane,https://en.wikipedia.org/wiki/Morgane_(singer),Nous on veut des violons,,French,Claude Barzotti|Anne-Marie Gaspard,Frank Fievez,u60o-w4uSms
1992,cy,CyBC,Evridiki,https://en.wikipedia.org/wiki/Evridiki,"Teriazoume"" (Ταιριάζουμε)",,Greek,Giorgos Theophanous|Leonidas Malenis,George Theofanous,DdFHIJUt2wU
1992,dk,DR,Lotte Nilsson and Kenny Lübcke,,Alt det som ingen ser,,Danish,Carsten Warming,Henrik Krogsgaard,qmgcJmwJ0Nc
1992,fi,YLE,Pave,https://en.wikipedia.org/wiki/Pave_Maijanen,Yamma Yamma,,Finnish,Hector|Pave,Olli Ahvenlahti,04wdmE1l20k
1992,fr,Antenne 2,Kali,https://en.wikipedia.org/wiki/Kali_(French_singer),Monté la riviè,,"French,",Rémy Bellenchombre|Kali,Magdi Vasco Noverraz,fTeI98arY2I
1992,de,MDR,Wind,https://en.wikipedia.org/wiki/Wind_(band),Träume sind für alle da,,German,Bernd Meinunger|Ralph Siegel,Norbert Daum,6py727DzyPQ
1992,gr,ERT,Cleopatra,https://en.wikipedia.org/wiki/Cleopatra_(Greek_singer),"Olou tou kosmou i elpida"" (Όλου του κόσμου η ελπίδα)",,Greek,Hristos Lagos,Haris Andreadis,HQQI_xt-j-g
1992,is,RÚV,Heart 2 Heart,https://en.wikipedia.org/wiki/Heart_2_Heart_(band),Nei eða já,,Icelandic,Friðrik Karlsson|Grétar Örvarsson|Stefán Hilmarsson,Nigel Wright,ELSuY9riUUY
1992,ie,RTÉ,Linda Martin,https://en.wikipedia.org/wiki/Linda_Martin,Why Me,https://en.wikipedia.org/wiki/Why_Me%3F_(Linda_Martin_song),English,Johnny Logan,Noel Kelehan,-g7Q7R3SIkI
1992,il,IBA,Dafna,https://en.wikipedia.org/wiki/Dafna_Dekel,"Ze Rak Sport"" (זה רק ספורט)",,Hebrew,Ehud Manor|Kobi Oshrat,Kobi Oshrat,Brcxkjdz1gM
1992,it,RAI,Mia Martini,https://en.wikipedia.org/wiki/Mia_Martini,Rapsodia,,Italian,Giancarlo Bigazzi|Giuseppe Dati,Marco Falagiani,-lHw8agCIIo
1992,lu,CLT,Marion Welter,https://en.wikipedia.org/wiki/Marion_Welter,Sou fräi,,Luxembourgish,Ab van Goor|Jang Linster,Christian Jacob,QxvKroREYdk
1992,mt,PBS,Mary Spiteri,https://en.wikipedia.org/wiki/Mary_Spiteri,Little Child,,English,Georgina Abela|Raymond Mahoney,Paul Abela,tTB6JjVgiSg
1992,nl,NOS,Humphrey Campbell,https://en.wikipedia.org/wiki/Humphrey_Campbell,Wijs me de weg,,Dutch,Edwin Schimscheimer,Harry van Hoof,qLco1p2W6WM
1992,no,NRK,Merethe Trøan,https://en.wikipedia.org/wiki/Merethe_Tr%C3%B8an,Visjoner,,Norwegian,Eva Jansen|Robert Morley,Rolf Løvland,qXwOpjX1Cu4
1992,pt,RTP,Dina,https://en.wikipedia.org/wiki/Dina_(singer),Amor d'água fresca,,Portuguese,Dina|Rosa Lobato de Faria,Carlos Alberto Moniz,IK5rEUm_q4o
1992,es,TVE,Serafín,https://en.wikipedia.org/wiki/Seraf%C3%ADn_Zubiri,Todo esto es la música,,Spanish,Luis Miguélez|Alfredo Valbuena,Javier Losada,X2gWIT3WUBY
1992,se,SVT,Christer Björkman,https://en.wikipedia.org/wiki/Christer_Bj%C3%B6rkman,I morgon är en annan dag,,Swedish,Niklas Strömstedt,Anders Berglund,ZQgr0aWeFmI
1992,ch,SRG SSR,Daisy Auvray,,Mister Music Man,,French,Gordon Dent,Roby Seidel,orAK7bpOg5I
